County,FIPS,Year,Contest,Method,Winning Party,Margin Count,Margin Percent,Votes Cast,Votes % of Pop,Population,"Pop %, Male","Pop %, Female","Pop %, Age <18","Pop %, Age 18-24","Pop %, Age 25-34","Pop %, Age 35-44","Pop %, Age 45-54","Pop %, Age 55-64","Pop %, Age 65+","Pop %, White","Pop %, Black","Pop %, N. American & Alaskan","Pop %, Asian","Pop %, Hawaiian & P. Islander","Pop %, Other","Pop %, 2+ Races","Pop %, 9-12th Grade","Pop %, High School","Pop %, Some College No Degree","Pop %, Assoc Degree","Pop %, Bach Degree","Pop %, Graduate Degree",Median Household Income,"Pop %, Priv Health Ins","Pop %, No Priv Health Ins","Pop %, Publ Health Ins","Pop %, No Publ Health Ins"
ALEXANDER,37003,2014,US Senate,Total,REP,-4837.0,-44.0,11013.0,29.5,37392.0,52.2,47.8,21.0,10.9,9.9,10.9,14.8,13.6,18.9,,,,,,,,6.3,27.8,14.2,3.3,9.5,1.9,38600.0,53.0,44.1,45.8,51.3
ALLEGHANY,,2014,US Senate,Total,REP,-1140.0,-29.6,3852.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANSON,37007,2014,US Senate,Total,DEM,1775.0,27.2,6523.0,25.3,25765.0,52.4,47.6,19.7,8.8,13.5,15.3,11.5,11.8,19.4,50.0,46.3,0.7,1.6,0.0,0.0,1.4,10.3,33.5,11.0,8.5,5.0,1.7,30124.0,49.7,43.6,41.6,51.8
ASHE,37009,2014,US Senate,Total,REP,-2433.0,-27.4,8883.0,32.7,27126.0,50.0,50.0,18.8,6.0,8.7,13.7,14.1,15.3,23.3,94.4,1.2,0.1,0.0,0.0,3.2,1.2,9.2,24.2,16.6,7.4,7.7,4.8,39212.0,60.5,38.6,43.4,55.7
AVERY,,2014,US Senate,Total,REP,-2585.0,-53.2,4851.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEAUFORT,37013,2014,US Senate,Total,REP,-2666.0,-15.8,16808.0,35.3,47585.0,48.5,51.5,19.5,10.7,9.3,10.7,12.9,15.4,21.6,,,,,,,,6.9,23.4,15.7,8.4,7.8,3.6,41318.0,64.3,34.9,42.3,56.9
BERTIE,37015,2014,US Senate,Total,DEM,1832.0,29.2,6268.0,31.2,20106.0,51.5,48.5,19.2,10.4,10.5,11.4,16.8,14.0,17.8,,,,,,,,7.6,30.8,13.5,5.6,5.5,2.9,28529.0,57.2,35.8,36.7,56.3
BLADEN,37017,2014,US Senate,Total,DEM,598.0,5.6,10680.0,30.8,34657.0,46.2,53.8,23.7,5.4,11.4,7.3,17.8,15.8,18.6,54.6,38.3,3.0,0.0,0.0,2.8,1.3,6.9,21.0,18.1,7.5,7.9,3.9,30238.0,52.2,46.9,50.1,49.0
BRUNSWICK,37019,2014,US Senate,Total,REP,-7143.0,-18.4,38621.0,32.5,118836.0,50.0,50.0,17.3,6.3,10.0,10.0,12.2,17.4,26.9,82.9,11.0,0.8,0.6,0.1,2.7,1.9,6.6,21.0,17.7,7.9,13.2,7.2,46721.0,61.7,37.6,45.6,53.6
BUNCOMBE,37021,2014,US Senate,Total,DEM,15583.0,18.8,83327.0,33.3,250539.0,48.4,51.6,19.3,8.5,13.6,13.1,13.5,14.0,18.0,88.2,7.2,0.4,1.5,0.0,0.6,2.3,3.9,17.0,15.7,6.4,16.4,10.4,47671.0,68.8,29.7,30.5,67.9
BURKE,37023,2014,US Senate,Total,REP,-5366.0,-23.2,23040.0,25.7,89486.0,49.5,50.5,19.9,9.4,12.3,11.6,14.5,14.1,18.3,82.6,7.7,0.5,3.6,0.0,4.9,0.8,9.5,20.2,15.2,7.7,8.4,4.1,37086.0,55.0,42.6,43.1,54.4
CABARRUS,37025,2014,US Senate,Total,REP,-9296.0,-18.8,49436.0,25.7,192103.0,48.9,51.1,26.3,8.0,12.9,14.5,14.3,11.5,12.4,72.9,17.2,0.4,2.6,0.0,5.8,1.1,4.6,17.5,16.1,7.1,13.2,5.3,54347.0,72.5,26.7,27.2,72.1
CALDWELL,37027,2014,US Senate,Total,REP,-7051.0,-36.0,19567.0,24.0,81484.0,47.8,52.2,21.1,8.5,10.0,13.1,15.2,14.0,18.1,89.6,5.2,0.3,0.6,0.2,2.9,1.2,9.5,20.9,16.5,6.6,8.3,4.0,37876.0,54.6,44.3,41.0,58.0
CAMDEN,,2014,US Senate,Total,REP,-816.0,-26.2,3104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARTERET,37031,2014,US Senate,Total,REP,-9007.0,-37.6,24007.0,34.9,68811.0,48.7,51.3,18.6,6.9,10.7,11.0,14.6,16.0,22.2,89.7,5.8,0.2,0.8,0.0,0.3,3.2,5.9,18.9,18.7,8.9,10.5,8.9,48881.0,63.4,34.7,38.7,59.4
CASWELL,37033,2014,US Senate,Total,REP,-44.0,-0.6,6926.0,30.7,22553.0,48.4,51.6,21.6,9.5,7.4,12.6,13.3,19.4,16.2,,,,,,,,9.1,26.9,13.8,5.6,7.0,3.4,47028.0,56.1,40.1,38.5,57.6
CATAWBA,37035,2014,US Senate,Total,REP,-13150.0,-31.6,41740.0,27.0,154534.0,48.9,51.1,23.0,8.4,11.2,13.7,14.4,13.4,16.1,79.4,8.6,0.2,4.0,0.0,6.0,1.7,8.7,21.8,14.4,6.8,9.4,3.7,44677.0,65.1,33.8,33.2,65.8
CHATHAM,37037,2014,US Senate,Total,DEM,3073.0,11.4,26915.0,39.2,68698.0,50.1,49.9,21.0,6.3,8.3,13.5,13.0,14.5,23.4,75.0,12.5,0.3,1.0,0.0,6.8,4.4,7.5,15.8,13.4,4.8,13.9,13.2,54229.0,66.2,32.7,37.8,61.1
CHEROKEE,37039,2014,US Senate,Total,REP,-3661.0,-40.2,9087.0,35.1,25882.0,51.3,48.7,19.5,7.3,3.2,14.8,12.0,17.4,25.7,93.8,2.4,2.7,0.0,0.0,0.0,1.0,7.7,24.9,14.4,7.0,10.7,5.5,36474.0,48.5,50.5,48.6,50.4
CHOWAN,,2014,US Senate,Total,REP,-557.0,-11.0,5085.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLAY,,2014,US Senate,Total,REP,-1691.0,-39.0,4331.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLEVELAND,37045,2014,US Senate,Total,REP,-4557.0,-17.2,26511.0,27.3,97076.0,47.2,52.8,22.3,9.9,10.9,11.6,14.4,13.5,17.3,76.3,21.1,0.5,0.5,0.0,0.1,1.5,7.4,24.8,12.4,7.8,6.8,4.7,37433.0,57.0,42.8,41.6,58.2
COLUMBUS,37047,2014,US Senate,Total,REP,-151.0,-1.0,13949.0,24.5,56953.0,49.8,50.2,22.3,8.5,11.3,12.7,14.0,13.4,17.8,60.8,30.7,3.1,0.0,0.0,4.4,1.0,9.6,23.7,18.1,5.1,5.8,2.4,34480.0,49.3,46.0,41.2,54.1
CRAVEN,37049,2014,US Senate,Total,REP,-5616.0,-19.0,29550.0,28.3,104510.0,50.8,49.2,22.8,12.5,13.2,10.1,12.3,12.3,16.9,71.1,20.9,0.6,2.1,0.1,1.0,4.3,6.4,16.8,17.7,5.7,9.4,5.1,43380.0,61.5,30.8,32.2,60.1
CUMBERLAND,37051,2014,US Senate,Total,DEM,11718.0,16.0,73522.0,22.5,326328.0,49.0,51.0,25.7,12.7,16.8,12.0,11.8,10.3,10.8,52.1,36.0,1.6,2.6,0.3,1.9,5.5,4.5,15.2,18.9,7.0,9.0,5.1,42248.0,60.6,31.0,31.4,60.3
CURRITUCK,37053,2014,US Senate,Total,REP,-2816.0,-38.4,7316.0,29.3,24976.0,49.1,50.9,20.2,7.5,9.5,11.3,19.7,17.9,13.9,88.1,3.8,0.7,0.4,0.0,1.7,5.3,8.4,19.0,20.8,6.9,13.1,3.6,64583.0,72.9,26.1,24.2,74.9
DARE,37055,2014,US Senate,Total,REP,-2054.0,-16.4,12470.0,35.5,35104.0,49.6,50.4,19.0,4.2,13.6,12.9,14.2,17.0,19.2,90.9,2.7,0.3,0.8,0.0,3.4,1.9,2.6,18.0,22.8,6.2,17.5,7.4,55503.0,67.8,31.7,32.5,67.0
DAVIDSON,37057,2014,US Senate,Total,REP,-17412.0,-42.4,41136.0,25.1,164072.0,49.1,50.9,22.7,8.0,11.0,12.9,15.2,13.8,16.5,85.6,8.8,0.3,1.2,0.1,2.1,1.8,7.2,24.2,13.9,6.8,8.6,4.3,42201.0,64.2,34.5,34.4,64.3
DAVIE,37059,2014,US Senate,Total,REP,-5776.0,-43.6,13266.0,32.0,41434.0,47.1,52.9,23.6,8.0,7.4,11.0,16.1,14.8,19.2,,,,,,,,6.5,22.8,14.2,8.5,10.4,5.0,45161.0,64.9,34.4,38.0,61.2
DUPLIN,37061,2014,US Senate,Total,REP,-1380.0,-11.2,12308.0,20.6,59882.0,51.1,48.9,24.9,9.3,9.6,13.9,13.5,13.4,15.5,67.8,24.9,0.5,0.1,0.0,5.4,1.2,11.6,18.3,13.6,6.7,4.8,2.1,30747.0,47.0,52.3,42.3,57.0
DURHAM,37063,2014,US Senate,Total,DEM,51680.0,56.6,91336.0,31.0,294460.0,47.7,52.3,22.1,10.4,18.1,14.6,12.2,11.6,11.0,50.7,37.8,0.1,4.2,0.1,4.3,2.8,3.6,11.7,12.7,3.9,16.6,14.9,50504.0,68.2,29.9,27.3,70.7
EDGECOMBE,37065,2014,US Senate,Total,DEM,6279.0,37.8,16593.0,30.2,54933.0,46.8,53.2,23.2,9.1,11.3,12.3,12.4,14.7,16.9,37.8,56.0,0.3,0.0,0.0,3.3,2.5,11.2,23.8,14.0,5.4,5.3,2.6,30876.0,49.4,48.7,49.4,48.7
FORSYTH,37067,2014,US Senate,Total,DEM,6449.0,6.2,105567.0,28.9,365298.0,47.4,52.6,23.8,10.0,12.7,12.8,13.8,12.6,14.3,66.0,25.8,0.2,2.1,0.0,4.4,1.6,5.2,17.0,13.8,5.7,13.1,7.9,45220.0,66.4,32.8,31.4,67.7
FRANKLIN,37069,2014,US Senate,Total,REP,-634.0,-3.4,18896.0,30.1,62860.0,49.9,50.1,23.1,8.8,10.1,13.6,15.1,13.0,16.4,68.6,26.2,0.7,0.6,0.0,2.3,1.6,8.4,20.4,14.5,8.3,9.2,4.0,48539.0,59.4,39.0,34.9,63.5
GASTON,37071,2014,US Senate,Total,REP,-14107.0,-27.0,52227.0,24.7,211127.0,48.5,51.5,22.9,9.1,11.7,13.4,14.8,12.8,15.2,76.0,15.4,0.3,1.6,0.0,4.5,2.1,7.4,20.2,17.0,6.2,9.9,3.9,41011.0,60.6,38.4,35.4,63.6
GATES,,2014,US Senate,Total,DEM,16.0,0.4,3272.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAHAM,,2014,US Senate,Total,REP,-1049.0,-34.4,3043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRANVILLE,37077,2014,US Senate,Total,DEM,1138.0,7.2,15870.0,27.1,58500.0,50.7,49.3,21.3,10.1,11.7,12.6,15.1,13.8,15.5,59.6,31.8,0.8,0.3,0.0,5.3,2.2,6.9,19.8,15.7,7.0,9.1,4.7,50274.0,60.0,35.6,33.4,62.2
GREENE,37079,2014,US Senate,Total,REP,-231.0,-4.2,5591.0,26.3,21228.0,53.3,46.7,22.8,8.4,15.7,11.2,14.9,16.3,10.8,,,,,,,,10.1,22.5,15.0,5.0,4.7,2.8,36038.0,44.0,45.1,37.0,52.1
GUILFORD,37081,2014,US Senate,Total,DEM,22423.0,14.0,160033.0,31.2,512119.0,47.6,52.4,22.8,11.1,13.5,13.2,13.5,12.2,13.7,56.9,33.5,0.4,4.3,0.0,2.9,2.0,4.4,16.9,14.3,5.6,14.2,7.8,44069.0,65.1,34.1,30.7,68.5
HALIFAX,37083,2014,US Senate,Total,DEM,4758.0,28.0,16972.0,32.0,52970.0,48.1,51.9,22.6,8.2,10.4,13.2,12.8,14.5,18.2,39.5,53.2,4.1,0.8,0.0,0.9,1.5,10.9,29.5,10.0,6.3,5.0,2.6,31199.0,54.6,42.9,44.5,52.9
HARNETT,37085,2014,US Senate,Total,REP,-4854.0,-18.6,25984.0,20.5,126666.0,49.4,50.6,27.0,9.8,15.5,14.0,12.8,10.0,10.8,69.0,20.5,0.8,1.3,0.1,3.2,5.2,7.2,19.7,14.5,6.9,7.5,4.3,44880.0,59.5,35.8,32.9,62.4
HAYWOOD,37087,2014,US Senate,Total,REP,-1703.0,-9.6,17879.0,30.1,59471.0,49.0,51.0,18.1,7.6,9.4,11.9,14.5,15.2,23.4,,,,,,,,4.4,18.3,19.6,10.2,11.4,7.3,45103.0,64.4,34.9,41.3,58.0
HENDERSON,37089,2014,US Senate,Total,REP,-8569.0,-24.6,34929.0,31.4,111149.0,48.4,51.6,19.7,6.6,9.8,12.1,12.8,14.2,24.7,90.4,3.1,0.1,0.9,0.9,3.0,1.6,4.4,20.1,19.1,6.4,14.6,6.7,47335.0,66.1,33.0,41.7,57.4
HERTFORD,37091,2014,US Senate,Total,DEM,2529.0,40.4,6257.0,25.7,24308.0,50.5,49.5,19.6,11.4,10.4,11.2,14.4,14.8,18.2,36.9,59.6,0.8,0.8,0.0,0.6,1.3,11.4,23.1,15.3,5.6,6.2,2.5,28790.0,50.1,42.7,42.9,49.9
HOKE,37093,2014,US Senate,Total,DEM,1955.0,19.6,9985.0,19.3,51611.0,50.2,49.8,28.8,6.1,17.1,16.7,12.9,9.8,8.5,48.7,35.3,8.4,1.4,0.1,1.6,4.5,6.9,16.8,18.2,6.7,9.3,3.8,41548.0,62.5,29.4,30.0,61.9
HYDE,,2014,US Senate,Total,DEM,95.0,5.6,1685.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IREDELL,37097,2014,US Senate,Total,REP,-14952.0,-31.4,47552.0,28.5,166675.0,49.1,50.9,23.8,9.2,10.7,13.1,16.1,12.6,14.5,80.5,12.5,0.4,2.2,0.1,2.5,1.7,5.2,18.5,17.7,6.1,11.6,5.4,54384.0,69.7,29.5,29.2,69.9
JACKSON,37099,2014,US Senate,Total,DEM,153.0,1.4,10297.0,25.1,40981.0,51.0,49.0,17.2,20.6,9.0,10.7,11.7,13.3,17.5,83.5,3.3,9.9,0.6,0.0,0.7,1.8,4.2,15.2,11.4,7.1,11.9,8.7,34438.0,65.1,34.3,35.3,64.1
JOHNSTON,37101,2014,US Senate,Total,REP,-13285.0,-27.8,47755.0,26.3,181423.0,48.4,51.6,26.6,8.7,11.1,15.2,14.7,11.6,12.1,76.9,14.8,0.6,0.9,0.0,5.1,1.7,5.5,20.3,15.8,7.4,9.6,3.1,48851.0,62.0,37.0,32.7,66.3
JONES,,2014,US Senate,Total,REP,-295.0,-7.8,3761.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEE,37105,2014,US Senate,Total,REP,-993.0,-6.6,14925.0,25.0,59662.0,48.9,51.1,25.4,11.2,11.0,13.1,12.1,12.2,15.0,69.7,18.6,0.7,1.2,0.0,6.7,3.2,5.6,19.4,12.8,7.9,10.1,3.7,48349.0,59.0,39.0,35.9,62.2
LENOIR,37107,2014,US Senate,Total,DEM,284.0,1.6,17888.0,30.6,58485.0,48.1,51.9,24.8,8.5,10.5,11.1,13.0,14.3,17.7,,,,,,,,5.2,24.6,15.9,7.5,7.3,2.9,35056.0,54.5,43.3,46.3,51.5
LINCOLN,37109,2014,US Senate,Total,REP,-9170.0,-40.6,22550.0,28.2,79829.0,48.8,51.2,21.9,8.1,11.1,13.3,16.0,13.5,16.2,89.2,6.2,0.3,0.1,0.0,2.8,1.5,9.4,21.3,14.7,7.8,8.6,4.4,48131.0,63.4,35.9,33.4,65.9
MACON,37113,2014,US Senate,Total,REP,-2440.0,-22.0,11122.0,32.8,33875.0,47.8,52.2,17.6,6.0,8.3,12.6,11.7,16.1,27.6,,,,,,,,5.2,22.0,21.4,6.1,11.0,4.8,36230.0,53.6,45.8,45.2,54.2
MADISON,37115,2014,US Senate,Total,REP,-164.0,-2.2,7172.0,33.9,21157.0,48.9,51.1,19.7,11.0,6.0,16.8,14.3,11.4,20.7,,,,,,,,4.7,23.0,12.9,6.0,9.0,5.5,39624.0,57.0,41.9,42.7,56.2
MARTIN,37117,2014,US Senate,Total,DEM,626.0,7.8,7978.0,34.0,23454.0,50.4,49.6,15.3,11.1,7.1,13.3,16.0,13.8,23.3,,,,,,,,8.8,27.3,14.1,6.7,5.1,5.9,39710.0,59.9,39.5,42.4,57.1
MCDOWELL,37111,2014,US Senate,Total,REP,-3518.0,-34.0,10322.0,23.0,44965.0,49.4,50.6,20.7,8.7,10.2,12.5,15.8,13.8,18.4,89.5,3.5,0.0,0.9,0.1,4.3,1.7,6.5,26.1,16.1,6.6,7.5,2.6,36461.0,58.4,39.2,39.9,57.8
MECKLENBURG,37119,2014,US Senate,Total,DEM,55971.0,21.8,257921.0,25.5,1012539.0,48.1,51.9,24.6,9.4,16.5,15.2,13.7,10.6,10.0,55.8,30.7,0.3,5.3,0.0,4.9,3.1,3.9,12.0,13.5,5.2,18.8,9.6,58841.0,69.1,30.4,25.1,74.4
MITCHELL,,2014,US Senate,Total,REP,-2447.0,-49.2,4983.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONTGOMERY,37123,2014,US Senate,Total,REP,-984.0,-13.0,7624.0,27.8,27395.0,51.3,48.7,22.5,5.6,7.9,13.9,16.0,15.1,19.0,,,,,,,,9.7,26.3,15.2,6.0,7.5,2.2,40776.0,55.1,41.0,35.6,60.4
MOORE,37125,2014,US Senate,Total,REP,-9140.0,-28.8,31806.0,34.2,93077.0,48.4,51.6,21.7,6.0,10.6,11.4,13.5,12.7,24.0,82.5,14.1,0.1,1.2,0.0,1.0,1.1,4.8,16.9,15.1,6.8,16.0,9.9,51328.0,61.7,36.2,40.0,57.8
NASH,37127,2014,US Senate,Total,REP,-544.0,-1.6,33194.0,35.2,94357.0,48.3,51.7,22.7,9.7,10.7,12.2,14.2,14.1,16.4,52.6,39.2,0.6,0.7,0.0,4.8,2.0,6.6,25.2,15.0,5.4,8.4,3.5,43209.0,58.1,40.6,40.5,58.2
NEW HANOVER,37129,2014,US Senate,Total,REP,-78.0,-0.2,62960.0,29.1,216298.0,48.0,52.0,19.3,12.4,14.0,12.9,12.8,12.8,15.8,80.8,14.6,0.1,1.2,0.0,1.2,2.1,3.4,14.5,15.7,6.4,18.6,7.8,49982.0,70.6,28.2,30.8,68.0
NORTHAMPTON,37131,2014,US Senate,Total,DEM,2257.0,34.8,6473.0,31.6,20463.0,51.9,48.1,21.5,11.1,12.8,7.4,9.8,15.5,21.9,,,,,,,,8.8,26.5,9.1,6.6,6.2,3.0,30376.0,53.0,43.2,38.9,57.2
ONSLOW,37133,2014,US Senate,Total,REP,-9704.0,-32.4,29956.0,16.0,187589.0,54.7,45.3,25.4,21.6,17.5,11.9,7.9,7.2,8.5,72.5,17.3,0.5,0.6,0.1,4.1,4.9,3.8,14.4,19.2,4.0,6.9,3.4,47581.0,63.0,20.8,23.5,60.3
ORANGE,37135,2014,US Senate,Total,DEM,25926.0,50.4,51484.0,36.7,140420.0,48.3,51.7,20.4,18.6,12.7,11.8,13.1,12.2,11.2,73.9,12.2,0.5,7.6,0.0,3.2,2.5,1.9,10.5,9.0,4.2,15.2,18.3,59658.0,80.2,19.3,20.6,79.0
PAMLICO,,2014,US Senate,Total,REP,-817.0,-15.6,5207.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PASQUOTANK,37139,2014,US Senate,Total,DEM,989.0,10.0,9985.0,25.1,39787.0,47.8,52.2,20.6,11.2,14.2,12.4,13.3,12.9,15.4,58.1,36.4,0.3,2.1,0.5,0.8,1.7,8.1,18.1,21.2,5.9,7.8,3.6,45821.0,56.5,40.9,32.9,64.5
PENDER,37141,2014,US Senate,Total,REP,-2790.0,-18.2,15396.0,27.4,56250.0,49.4,50.6,22.5,7.9,10.5,14.1,14.2,14.1,16.9,75.7,17.1,0.3,0.4,0.0,4.4,2.1,6.7,24.4,15.2,6.9,8.7,5.5,43617.0,63.1,34.0,34.4,62.6
PERQUIMANS,,2014,US Senate,Total,REP,-968.0,-24.0,4032.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSON,37145,2014,US Senate,Total,REP,-1214.0,-10.0,12118.0,31.0,39132.0,46.3,53.7,21.8,8.1,10.3,14.1,13.6,14.9,17.3,,,,,,,,6.4,23.0,17.5,8.7,6.8,2.5,47413.0,56.3,42.4,40.3,58.4
PITT,37147,2014,US Senate,Total,DEM,1532.0,3.4,43936.0,25.1,175354.0,47.5,52.5,21.9,18.7,13.6,12.2,11.4,10.8,11.3,57.5,34.1,0.4,1.6,0.0,4.3,2.1,4.3,14.6,14.1,7.3,12.0,5.2,41632.0,67.2,32.2,28.7,70.7
POLK,37149,2014,US Senate,Total,REP,-1076.0,-14.8,7234.0,35.5,20357.0,44.7,55.3,17.7,6.9,9.1,9.4,12.2,17.0,27.7,,,,,,,,4.8,17.9,10.8,7.1,16.8,16.1,47574.0,67.7,30.8,41.3,57.2
RANDOLPH,37151,2014,US Senate,Total,REP,-18701.0,-53.2,35097.0,24.6,142778.0,49.0,51.0,23.8,8.2,10.9,13.9,14.1,12.8,16.2,87.2,6.1,0.5,1.0,0.0,3.4,1.8,9.3,24.3,13.2,6.2,7.2,3.0,41107.0,61.0,38.2,35.2,64.0
RICHMOND,37153,2014,US Senate,Total,DEM,847.0,7.0,12183.0,26.6,45733.0,47.3,52.7,24.4,9.1,11.2,13.1,13.4,13.0,15.9,63.1,33.3,0.6,0.3,0.0,0.9,1.8,7.9,24.9,14.0,7.1,5.3,3.0,36026.0,52.8,44.5,41.8,55.4
ROBESON,37155,2014,US Senate,Total,DEM,2335.0,9.8,23837.0,17.7,134760.0,48.1,51.9,25.9,10.8,12.4,12.8,13.0,12.2,12.9,30.3,24.5,37.7,0.7,0.0,4.4,2.5,9.2,23.0,12.3,5.1,5.4,2.7,29889.0,44.0,54.8,45.5,53.2
ROCKINGHAM,37157,2014,US Senate,Total,REP,-5435.0,-20.4,26545.0,28.9,91696.0,48.3,51.7,21.1,8.1,11.5,11.5,14.9,14.8,18.1,76.0,18.9,0.2,0.7,0.4,2.3,1.5,8.5,28.2,14.3,6.2,7.3,2.4,38878.0,63.2,35.6,41.3,57.6
ROWAN,37159,2014,US Senate,Total,REP,-9698.0,-26.4,36762.0,26.5,138630.0,49.7,50.3,22.8,9.1,12.2,12.3,14.2,13.3,16.3,78.5,16.6,0.1,1.0,0.0,2.4,1.4,5.5,22.1,15.9,7.9,9.3,3.4,45978.0,57.7,40.5,40.7,57.5
RUTHERFORD,37161,2014,US Senate,Total,REP,-5095.0,-27.8,18343.0,27.5,66600.0,48.3,51.7,21.9,7.7,10.4,12.1,13.3,15.1,19.5,84.4,11.5,0.1,0.3,0.0,3.1,0.6,8.5,21.6,17.3,7.9,8.5,2.5,34347.0,58.2,40.6,44.7,54.1
SAMPSON,37163,2014,US Senate,Total,REP,-1869.0,-11.2,16687.0,26.1,64050.0,47.5,52.5,24.6,8.1,12.7,12.7,14.1,12.2,15.6,65.4,25.9,1.6,0.1,0.0,3.7,3.3,10.5,22.0,14.1,5.7,5.5,2.3,31063.0,47.5,51.2,46.0,52.7
SCOTLAND,37165,2014,US Senate,Total,DEM,1476.0,15.0,9782.0,27.5,35576.0,47.9,52.1,23.8,10.8,12.7,11.4,11.6,14.3,15.4,46.6,37.8,9.6,0.6,0.1,0.8,4.5,10.1,18.4,13.7,6.5,7.9,3.3,31571.0,47.2,47.6,47.2,47.6
STANLY,37167,2014,US Senate,Total,REP,-7066.0,-39.4,17928.0,29.6,60600.0,50.4,49.6,21.6,9.7,12.0,11.6,14.2,13.6,17.3,84.9,10.7,0.6,2.1,0.1,0.2,1.4,8.2,25.1,14.7,8.5,6.5,2.8,40763.0,67.5,30.2,35.9,61.8
STOKES,37169,2014,US Senate,Total,REP,-5751.0,-43.4,13255.0,28.6,46419.0,49.1,50.9,20.1,8.1,9.3,12.2,15.9,15.6,18.7,,,,,,,,8.3,28.4,14.3,7.5,6.8,2.2,42670.0,61.7,37.4,39.5,59.5
SURRY,37171,2014,US Senate,Total,REP,-6386.0,-35.0,18196.0,24.9,72968.0,47.8,52.2,22.2,8.7,9.6,12.8,14.9,12.9,18.9,92.4,4.5,0.5,0.4,0.0,1.4,0.8,10.3,19.1,15.3,8.9,6.2,2.8,36511.0,56.2,42.7,40.0,58.9
SWAIN,,2014,US Senate,Total,REP,-81.0,-2.0,4009.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRANSYLVANIA,37175,2014,US Senate,Total,REP,-1466.0,-11.8,12424.0,37.6,33045.0,50.5,49.5,15.0,9.6,6.1,12.1,13.3,16.5,27.4,90.4,4.2,0.1,0.9,0.0,3.0,1.4,6.9,20.5,17.2,6.2,13.5,8.9,46837.0,68.9,29.7,39.2,59.5
TYRRELL,,2014,US Senate,Total,REP,-22.0,-1.8,1160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNION,37179,2014,US Senate,Total,REP,-18544.0,-32.8,56658.0,25.9,218568.0,49.1,50.9,28.6,8.1,10.0,15.3,15.9,10.5,11.5,81.2,11.6,0.7,2.1,0.0,2.5,1.9,3.5,16.5,14.7,4.5,15.4,6.1,62898.0,74.7,24.9,23.9,75.7
VANCE,37181,2014,US Senate,Total,DEM,3494.0,25.8,13556.0,30.4,44614.0,48.7,51.3,24.9,8.2,12.2,13.3,11.6,13.7,16.3,,,,,,,,9.1,24.2,13.9,8.4,6.0,1.9,30248.0,48.0,51.0,50.9,48.2
WAKE,37183,2014,US Senate,Total,DEM,43797.0,13.8,316269.0,31.7,998691.0,48.7,51.3,25.0,9.4,14.7,15.6,14.5,10.7,10.0,66.9,20.3,0.3,6.3,0.1,3.3,2.8,2.8,11.0,11.5,5.8,20.5,11.8,66634.0,75.6,23.5,21.3,77.9
WARREN,37185,2014,US Senate,Total,DEM,2408.0,37.2,6474.0,32.0,20231.0,46.5,53.5,17.5,7.0,5.9,11.5,14.8,19.2,24.1,40.8,52.0,4.8,1.2,0.0,0.2,1.0,11.5,24.9,18.1,5.0,5.6,6.4,32435.0,55.3,39.9,50.6,44.6
WASHINGTON,,2014,US Senate,Total,DEM,881.0,20.0,4417.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATAUGA,37189,2014,US Senate,Total,REP,-401.0,-2.4,16063.0,30.6,52560.0,51.1,48.9,13.2,30.4,11.2,9.0,10.7,11.5,14.2,93.8,2.0,0.0,0.9,0.0,1.7,1.6,4.9,11.5,10.5,3.7,11.5,10.8,41652.0,81.4,18.1,23.9,75.6
WAYNE,37191,2014,US Senate,Total,REP,-3856.0,-12.0,31874.0,25.6,124456.0,48.8,51.2,24.1,11.5,12.2,11.6,13.6,12.5,14.5,57.0,32.3,0.0,1.4,0.0,7.0,2.2,5.7,20.5,13.9,6.0,9.7,3.3,35966.0,53.9,43.0,40.8,56.1
WILKES,37193,2014,US Senate,Total,REP,-7667.0,-44.0,17461.0,25.4,68838.0,48.6,51.4,21.2,7.5,9.6,12.5,15.1,14.3,19.8,91.7,5.0,0.2,0.1,0.2,2.0,0.9,11.5,22.5,13.7,5.3,6.4,3.8,30743.0,57.6,41.2,42.9,55.9
WILSON,37195,2014,US Senate,Total,DEM,1575.0,6.2,25075.0,30.8,81401.0,46.7,53.3,23.6,8.4,11.5,12.1,14.1,13.8,16.5,51.0,39.7,0.1,0.9,0.0,7.0,1.4,7.4,23.4,12.5,5.4,9.4,4.1,38774.0,52.1,46.5,40.3,58.3
